Product_ID,Title,Link,Category,Label_Trend,Label_Marketing,Rating,Sold,Original_Price,Current_Price,Discount_Percent
1729715047093341003,Quần Short Nữ Cạp Cao tôn dáng ôm body Chất Umi Co Giãn bốn chiều Cúc Cài Khóa Giữa Đen trắng Ong Women Pants,https://www.tiktok.com/shop/vn/pdp/quan-short-nu-cap-cao-%C4%91en-trang-ong-chat-umi-co-gian-4-chieu-nhieu-size/1729715047093341003,Womenswear & Underwear,Xu hướng,Flash Sale,4.5,18.0K,N/A,18.000,0%
1733816221796370393,"Bộ Nỉ Nữ In Chữ MISTAKES Có Khóa Cổ, Chất Vải Siêu Đẹp Ấm Áp Phù Hợp Thu Đông",https://www.tiktok.com/shop/vn/pdp/1733816221796370393,Womenswear & Underwear,Xu hướng,Không,4.4,1.3K,220.000₫,165.000,-25%
1729589266348476913,MS005 Áo Len Tăm Giữ Nhiệt Cổ Tròn 7 Phân Mềm Mịn Ấm Áp Mềm Mịn Co Giãn Ấm Áp PhulinhFashion Top Nữ Women,https://www.tiktok.com/shop/vn/pdp/ao-len-nu-co-cao-dai-tay-mau-%C4%91a-dang-form-rong-rai-am-ap/1729589266348476913,Womenswear & Underwear,Không,Flash Sale,4.6,21.8K,89.000₫,77.000,-13%
1731792327032931902,KA555-Fom Gọn Mặc Rộng Lên 1 size - Đồ Bộ Tole Lanh Nữ Áo Tay Ngắn Cổ Tròn Phối Viền Quần 8 Tấc Size 40-80kg,https://www.tiktok.com/shop/vn/pdp/ka99-%C4%91o-bo-tole-lanh-nu-ao-tay-ngan-quan-dai-size-40-80kg/1731792327032931902,Womenswear & Underwear,Xu hướng,Không,4.7,10.6K,N/A,170.000,0%
1732238021376379675,"Quần Đùi Nữ ~99K 3 QUẦN.6 MÀU (ĐEN-HỒNG -BE -NÂU TÂY-Ghi-XANH NGỌC) Hách Dáng Siêu Xinh , Dễ Phối Đồ , Chỉ 99K Women Dress",https://www.tiktok.com/shop/vn/pdp/quan-short-nu-combo-3-mau-%C4%91en-hong-nau-tay-ghi-thoang-mat/1732238021376379675,Womenswear & Underwear,Xu hướng,Flash Sale,4.7,102.6K,220.000₫,110.000,-50%
1729633210084067535,Áo Lót Nâng Không Gọng Đệm Vừa Cup Ngang Vân Dọc Có Viền Chống Tụt 2288 Nữ Voi Voan,https://www.tiktok.com/shop/vn/pdp/ao-lot-nang-khong-gong-co-ngang-dai-tay-mau-trang-hong/1729633210084067535,Womenswear & Underwear,Không,Không,4.9,28.6K,100.000₫,79.500,-21%
1732289019884636425,"Áo Sơ Mi Croptop Dáng Rộng, Áo Somi Kiểu Dây Buộc Lưng Tay Rộng Chất Vải Thô Nến Miho House",https://www.tiktok.com/shop/vn/pdp/ao-so-mi-dang-rong-miho-house-chat-vai-tho-nen-tay-rong-hang-loai-1/1732289019884636425,Womenswear & Underwear,Không,Không,4.8,67.3K,190.000₫,135.000,-29%
1731131126615804034,BGV_ Chân váy đuôi cá form mới trẻ trung hack dáng chất liệu vải nhập cao cấp dày dặn mềm rũ chuẩn form Nữ Voan Voi,https://www.tiktok.com/shop/vn/pdp/chan-vay-nu-voan-voi-form-%C4%91uoi-ca-thiet-ke-tre-trung-hack-dang/1731131126615804034,Womenswear & Underwear,Không,Không,4.8,17.3K,300.000₫,189.000,-37%
1731136754779720016,"Áo nỉ sweater thêu ngựa nam nữ, áo dài tay form rộng chất nỉ bông thêu hoạ tiết đơn giản vải dày dặn cực ấm bo tay bo cổ mềm không rão-women top Hoodie thudong",https://www.tiktok.com/shop/vn/pdp/ao-ni-sweater-theu-ngua-nam-nu-form-rong-vai-bong-am/1731136754779720016,Womenswear & Underwear,Không,Deal,4.6,15.1K,220.000₫,119.000,-46%
1732153893496522270,"Đầm xoắn cúp ôm body ống dáng ngắn không mút , váy kiểu trơn basic đen đỏ xanh có bigsize vải thoáng mát mùa hè tôn dáng sang chảnh HP57",https://www.tiktok.com/shop/vn/pdp/%C4%91am-body-om-ngan-khong-mut-chat-cotton-thoang-mat-bigsize/1732153893496522270,Womenswear & Underwear,Không,Không,4.8,15.1K,120.000₫,85.000,-29%
